step,current_tab,predicted_top1,predicted_top3,prediction_match_top1,prediction_match_top3,prefetched,latency_ms
79,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
80,tab_24,tab_23,"tab_23,tab_16,tab_24",0,1,1,20.0
81,tab_5,tab_5,"tab_5,tab_16,tab_23",1,1,1,20.0
82,tab_24,tab_16,"tab_16,tab_7,tab_23",0,0,1,20.0
83,tab_5,tab_5,"tab_5,tab_23,tab_16",1,1,1,20.0
84,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
85,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
86,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
87,tab_24,tab_24,"tab_24,tab_7,tab_23",1,1,1,20.0
88,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
89,tab_24,tab_16,"tab_16,tab_7,tab_23",0,0,1,20.0
90,tab_5,tab_5,"tab_5,tab_23,tab_16",1,1,1,20.0
91,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
92,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
93,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
94,tab_24,tab_24,"tab_24,tab_7,tab_23",1,1,1,20.0
95,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
96,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
97,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
98,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
99,tab_24,tab_24,"tab_24,tab_7,tab_23",1,1,1,20.0
100,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
101,tab_7,tab_16,"tab_16,tab_7,tab_23",0,1,1,20.0
102,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
103,tab_24,tab_24,"tab_24,tab_7,tab_23",1,1,1,20.0
104,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
105,tab_23,tab_16,"tab_16,tab_7,tab_23",0,1,1,20.0
106,tab_24,tab_24,"tab_24,tab_7,tab_23",1,1,1,20.0
107,tab_1,tab_5,"tab_5,tab_23,tab_24",0,0,0,100.0
108,tab_23,tab_5,"tab_5,tab_24,tab_23",0,1,1,20.0
109,tab_24,tab_24,"tab_24,tab_7,tab_23",1,1,1,20.0
110,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
111,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
112,tab_7,tab_7,"tab_7,tab_16,tab_24",1,1,1,20.0
113,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
114,tab_5,tab_24,"tab_24,tab_7,tab_23",0,0,1,20.0
115,tab_16,tab_16,"tab_16,tab_24,tab_7",1,1,1,20.0
116,tab_24,tab_7,"tab_7,tab_16,tab_24",0,1,1,20.0
117,tab_7,tab_5,"tab_5,tab_23,tab_0",0,0,1,20.0
118,tab_5,tab_23,"tab_23,tab_16,tab_24",0,0,1,20.0
119,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
120,tab_7,tab_7,"tab_7,tab_24,tab_16",1,1,1,20.0
121,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
122,tab_24,tab_24,"tab_24,tab_7,tab_5",1,1,1,20.0
123,tab_5,tab_5,"tab_5,tab_23,tab_24",1,1,1,20.0
124,tab_16,tab_16,"tab_16,tab_7,tab_23",1,1,1,20.0
125,tab_7,tab_7,"tab_7,tab_24,tab_16",1,1,1,20.0
126,tab_16,tab_23,"tab_23,tab_16,tab_24",0,1,1,20.0
127,tab_7,tab_7,"tab_7,tab_24,tab_23",1,1,1,20.0
128,tab_23,tab_23,"tab_23,tab_16,tab_24",1,1,1,20.0
129,tab_24,tab_24,"tab_24,tab_7,tab_5",1,1,1,20.0
